服务器节点图可用
event.tabSelected,选项卡选中时
event.constructExitCombat,造物脱战时
event.constructEnterCombat,造物入战时
event.playerCareerRemoved,玩家职业解除时
event.playerCareerLevelChanged,玩家职业等级变化时
event.playerCareerChanged,玩家职业更改时
event.skillNodeInvoked,技能节点调用时
event.hatredTargetChanged,仇恨目标变化时
event.selfExitCombat,自身脱战时
event.selfEnterCombat,自身入战时
event.signalListen,监听信号
event.cardPickerCompleted,卡牌选择器完成时
event.textBubbleCompleted,文本气泡完成时
event.shopSellCustomItem,商店出售自定义商品时
event.shopSellBackpackItem,商店出售背包物品时
event.shopBuyItems,商店收购道具时
event.equipmentInitialized,装备初始化时
event.equipmentAffixValueChanged,装备的词条数值改变时
event.equipmentEquipped,装备被穿戴时
event.equipmentUnequipped,装备被卸下时
event.backpackItemUsed,背包内道具被使用时
event.backpackCurrencyChanged,背包货币数量变化时
event.backpackItemAdded,背包道具新增时
event.backpackItemCountChanged,背包道具数量变化时
event.backpackItemLost,背包道具失去时
event.constructReachedPatrolWaypoint,造物抵达巡逻路点时
flow.branch.multi,多分支
flow.branch.ifElse,双分支
query.matchModeAndPlayerCount,查询对局游玩方式及人数
query.getLocalVariable,获取局部变量
query.vector3.up,三维向量：上方
query.vector3.down,三维向量：下方
query.vector3.forward,三维向量：前方
query.vector3.back,三维向量：后方
query.vector3.right,三维向量：右侧
query.vector3.left,三维向量：左侧
query.vector3.zero,三维向量：零向量
query.pi,圆周率
query.weightedRandomIndex,权重随机
query.utcTimestamp,查询时间戳（UTC+0时区）
query.serverTimezone,查询服务器时区
query.randomInt,获取随机整数
query.randomFloat,获取随机浮点数
query.list.contains,列表是否包含该值
query.list.findIndicesByValue,查找列表并返回值的序号
query.list.getAt,获取列表对应值
query.list.max,获取列表最大值
query.list.min,获取列表最小值
query.list.length,获取列表长度
query.customVar.snapshot,查询自定义变量快照
query.customVar.get,获取自定义变量
query.graphVar.get,获取节点图变量
query.presetState.get,获取预设状态
query.entity.byGuid,以GUID查询实体
query.guid.byEntity,以实体查询GUID
query.entity.isAlive,查询实体是否在场
query.character.moveSpeed,查询角色当前移动速度
query.entities.getAll,获取场上所有实体
query.entities.byComponentOnField,获取场上指定元件ID的实体
query.entities.byTypeOnField,获取场上指定类型实体
query.entity.transform,获取实体位置与旋转
query.entity.elementStats,获取实体元素属性
query.entity.upVector,获取实体向上向量
query.entity.forwardVector,获取实体向前向量
query.entity.rightVector,获取实体向右向量
query.entity.ownedEntities,获取实体拥有的实体列表
query.entity.type,获取实体类型
query.entity.advancedStats,获取实体进阶属性
